Row Labels,WindowsOnly Number,WindowsOnly Percent,OtherVentilation Number,OtherVentilation Percent,TotalClassrooms (not inc DNE),Does Not Exist Number,Does Not Exist Percent,Operational Number,Operational Percent,Repair In Progress Number,Repair in Progress Percent,Does Not Exist or Repair in Progress Number,Does Not Exist or Repair in Progress Percent,Total Number Classrooms,Address,Latitude,Longitude,OpenCage Address,OpenCage Zip Code,OpeningDate,SchoolType,NTANumber,NTAName,JoinedSchoolListLocList,Census_tract,numSchools,studentEnrollment,studentCases,staffAndTeacherEnrollment,staffAndTeacherCases,totalCases,totalSchoolPop,studentsPerClassroom,staffPerClassroom,totalSchoolPopPerClassroom,casePerStudent,casesPerStaff,totalCasesPerPop,"caseRatePer10,000Student","caseRatePer10,000Staff","totalCaseRatePer10,000Pop"
X027,46,1,0,0,46,0,0,45,0.98,1,0.02,1,0.02,46,519 ST ANNS AVENUE,40.813385,-73.913872,"Public School 27, 519 Saint Ann's Avenue, New York, NY 10455, United States of America",10455,1999,Elementary,BX39,Mott Haven-Port Morris,P.S. 277,4300,1,373,0,61,5,5,434,8.108695652,1.326086957,9.434782609,0,0.081967213,0.011520737,0,819.6721311,115.2073733
M446,27,0.93,2,0.07,29,0,0,29,1,0,0,0,0,29,200 MONROE STREET,40.712269,-73.984128,"University Neighborhood High School, 200 Monroe Street, New York, NY 10002, United States of America",10002,1999,High school,MN28,Lower East Side,University Neighborhood High School,202,1,570,2,58,0,2,628,19.65517241,2,21.65517241,0.003508772,0,0.003184713,35.0877193,0,31.84713376
K804,37,0.93,3,0.08,40,0,0,40,1,0,0,0,0,40,347 BALTIC STREET,40.684869,-73.990884,"Junior High School 6, Baltic Street, New York, NY 11217, United States of America",11217,1998,High school,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,Cobble Hill School of American Studies,6900,1,479,0,49,0,0,528,11.975,1.225,13.2,0,0,0,0,0,0
X779,15,1,0,0,15,0,0,15,1,0,0,0,0,15,2865 CLAFLIN AVENUE,40.873659,-73.900068,"Our Lady of Angels Rectory, 2860 Webb Avenue, New York, NY 10468, United States of America",10468,1997,K-8,BX28,Van Cortlandt Village,P.S. 315 Lab School,26702,1,224,0,32,0,0,256,14.93333333,2.133333333,17.06666667,0,0,0,0,0,0
K834,17,1,0,0,17,0,0,17,1,0,0,0,0,17,512 CARROLL STREET,40.676198,-73.9855,"PS 372 The Chlidren's School, 1st Street, New York, NY 11215, United States of America",11215,1996,K-8,BK37,Park Slope-Gowanus,P.S. 372 -The Children's School,11900,1,187,2,134,1,3,321,11,7.882352941,18.88235294,0.010695187,0.007462687,0.009345794,106.9518717,74.62686567,93.45794393
Q451,8,1,0,0,8,0,0,7,0.88,1,0.13,1,0.13,8,28-04 41 AVENUE,40.751144,-73.937564,"41-01 28th Street, New York, NY 11101, United States of America",11101,1996,High school,QN68,Queensbridge-Ravenswood-Long Island City,Academy of American Studies,3300,1,1118,3,93,0,3,1211,139.75,11.625,151.375,0.002683363,0,0.002477291,26.83363148,0,24.77291495
X781,16,0.94,1,0.06,17,0,0,17,1,0,0,0,0,17,695 EAST 182ND STREET,40.850674,-73.886997,"Saint Martin of Tours School, 695 East 182nd Street, New York, NY 10457, United States of America",10457,1992,Elementary,BX06,Belmont,The Bronx STEM and Arts Academy,39100,1,191,1,26,0,1,217,11.23529412,1.529411765,12.76470588,0.005235602,0,0.004608295,52.35602094,0,46.08294931
K874,20,1,0,0,20,0,0,20,1,0,0,0,0,20,227 STERLING PLACE,40.676357,-73.970315,"The Colony, 225 Sterling Place, New York, NY 11238, United States of America",11238,1991,Junior High-Intermediate-Middle,BK64,Prospect Heights,I.S. 340,16300,1,219,1,29,0,1,248,10.95,1.45,12.4,0.00456621,0,0.004032258,45.66210046,0,40.32258065
X843,43,0.98,1,0.02,44,0,0,44,1,0,0,0,0,44,2641 GRAND CONCOURSE,40.865972,-73.8953,"2641 Grand Concourse, New York, NY 10468, United States of America",10468,1990,Elementary,BX05,Bedford Park-Fordham North,P.S. 246 Poe Center,40100,1,582,4,85,1,5,667,13.22727273,1.931818182,15.15909091,0.006872852,0.011764706,0.007496252,68.72852234,117.6470588,74.96251874
X065,45,1,0,0,45,0,0,0,0,45,1,45,1,45,677 EAST 141 STREET,40.807916,-73.912557,"Public School 65, 677 East 141st Street, New York, NY 10454, United States of America",10454,1924,Elementary,BX39,Mott Haven-Port Morris,"P.S. 065 Mother Hale Academy, Academic Leadership Charter School",3300,2,316,2,53,1,3,369,7.022222222,1.177777778,8.2,0.006329114,0.018867925,0.008130081,63.29113924,188.6792453,81.30081301
K161,46,0.98,1,0.02,47,0,0,1,0.02,46,0.98,46,0.98,47,330 CROWN STREET,40.665757,-73.949243,"Public School 161, 330 Crown Street, New York, NY 11225, United States of America",11225,1923,Elementary,BK63,Crown Heights South,"P.S. 161 The Crown, Success Academy Crown Heights",31900,2,1234,3,179,2,5,1413,26.25531915,3.808510638,30.06382979,0.002431118,0.011173184,0.00353857,24.31118314,111.7318436,35.38570418
