Row Labels,WindowsOnly Number,WindowsOnly Percent,OtherVentilation Number,OtherVentilation Percent,TotalClassrooms (not inc DNE),Does Not Exist Number,Does Not Exist Percent,Operational Number,Operational Percent,Repair In Progress Number,Repair in Progress Percent,Does Not Exist or Repair in Progress Number,Does Not Exist or Repair in Progress Percent,Total Number Classrooms,Address,Latitude,Longitude,OpenCage Address,OpenCage Zip Code,OpeningDate,SchoolType,NTANumber,NTAName,JoinedSchoolListLocList,Census_tract,numSchools,studentEnrollment,studentCases,staffAndTeacherEnrollment,staffAndTeacherCases,totalCases,totalSchoolPop,studentsPerClassroom,staffPerClassroom,totalSchoolPopPerClassroom,casePerStudent,casesPerStaff,totalCasesPerPop,"caseRatePer10,000Student","caseRatePer10,000Staff","totalCaseRatePer10,000Pop"
M338,0,0%,40,100%,40,0,0%,40,100%,0,0%,0,0%,40,525 WEST 44TH STREET,40.761487,-73.995825,"527 West 44th Street, New York, NY 10036, United States of America",10036,1905,Elementary,MN15,Clinton,P.S. 051 Elias Howe,12900,1,467,2,72,1,3,539,11.675,1.8,13.475,0.004282655246,0.01388888889,0.005565862709,42.82655246,138.8888889,55.65862709
M343,0,0%,36,100%,36,0,0%,36,100%,0,0%,0,0%,36,1 PECK SLIP,40.708774,-74.002407,"Pearl Street, New York, NY 10038, United States of America",10038,2012,Elementary,MN25,Battery Park City-Lower Manhattan,The Peck Slip School,1501,1,424,2,56,1,3,480,11.77777778,1.555555556,13.33333333,0.004716981132,0.01785714286,0.00625,47.16981132,178.5714286,62.5
M371,0,0%,12,100%,12,0,0%,12,100%,0,0%,0,0%,12,276 WEST 151ST STREET,40.825831,-73.937833,"276 West 151st Street, New York, NY 10039, United States of America",10039,2005,Elementary,MN03,Central Harlem North-Polo Grounds,Thurgood Marshall Academy Lower School,23600,1,186,2,33,0,2,219,15.5,2.75,18.25,0.01075268817,0,0.009132420091,107.5268817,0,91.32420091
M446,27,93%,2,7%,29,0,0%,29,100%,0,0%,0,0%,29,200 MONROE STREET,40.712269,-73.984128,"University Neighborhood High School, 200 Monroe Street, New York, NY 10002, United States of America",10002,1999,High school,MN28,Lower East Side,University Neighborhood High School,202,1,570,2,58,0,2,628,19.65517241,2,21.65517241,0.00350877193,0,0.003184713376,35.0877193,0,31.84713376
M645,24,71%,10,29%,34,0,0%,28,82%,6,18%,6,18%,34,320 EAST  96 STREET,40.783286,-73.945933,"Life Sciences Secondary School, 320 East 96th Street, New York, NY 10128, United States of America",10128,1999,Secondary School,MN32,Yorkville,Life Sciences Secondary School,15601,1,352,2,42,3,5,394,10.35294118,1.235294118,11.58823529,0.005681818182,0.07142857143,0.01269035533,56.81818182,714.2857143,126.9035533
M660,0,0%,35,100%,35,0,0%,35,100%,0,0%,0,0%,35,127 EAST  22 STREET,40.739121,-73.985323,"127 East 22nd Street, New York, NY 10010, United States of America",10010,1999,Secondary School,MN21,Gramercy,School of the Future High School,6800,1,735,2,72,2,4,807,21,2.057142857,23.05714286,0.002721088435,0.02777777778,0.004956629492,27.21088435,277.7777778,49.56629492
M812,0,0%,21,100%,21,0,0%,21,100%,0,0%,0,0%,21,#N/A,,,error,,#N/A,#N/A,#N/A,#N/A,#N/A,21703,1,496,2,46,0,2,542,23.61904762,2.19047619,25.80952381,0.004032258065,0,0.0036900369,40.32258065,0,36.900369
M814,0,0%,30,100%,30,0,0%,30,100%,0,0%,0,0%,30,504 WEST 158TH STREET,40.833695,-73.942074,"503 West 158th Street, New York, NY 10032, United States of America",10032,2006,Secondary School,MN36,Washington Heights South,Community Health Academy of the Heights,24100,1,660,2,64,0,2,724,22,2.133333333,24.13333333,0.00303030303,0,0.002762430939,30.3030303,0,27.62430939
M824,0,0%,24,100%,24,0,0%,24,100%,0,0%,0,0%,24,75 BROAD STREET,40.704697,-74.011202,"75 Broad Street, New York, NY 10004, United States of America",10004,2002,High school,MN25,Battery Park City-Lower Manhattan,Millennium High School,900,1,698,2,52,1,3,750,29.08333333,2.166666667,31.25,0.002865329513,0.01923076923,0.004,28.65329513,192.3076923,40
M834,0,0%,81,100%,81,0,0%,81,100%,0,0%,0,0%,81,444 WEST 56 STREET,40.767848,-73.98861,"448 West 56th Street, New York, NY 10019, United States of America",10019,1996,High school,MN15,Clinton,"High School for Environmental Studies, High School for Environmental Studies, Independence High School, Independence High School",13900,2,1500,2,135,0,2,1635,18.51851852,1.666666667,20.18518519,0.001333333333,0,0.00122324159,13.33333333,0,12.2324159
M837,0,0%,36,100%,36,0,0%,36,100%,0,0%,0,0%,36,227-243 WEST 61ST STREET,40.772608,-73.988338,"West End Secondary School, 227 West 61st Street, New York, NY 10023, United States of America",10023,2015,Secondary School,MN14,Lincoln Square,West End Secondary School,15100,1,603,2,63,0,2,666,16.75,1.75,18.5,0.003316749585,0,0.003003003003,33.16749585,0,30.03003003
M874,0,0%,22,100%,22,0,0%,22,100%,0,0%,0,0%,22,55 EAST  25 STREET,40.741888,-73.985723,"350 Park Avenue South, New York, NY 10010, United States of America",10010,1999,High school,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,Baruch College Campus High School,5600,1,492,2,39,1,3,531,22.36363636,1.772727273,24.13636364,0.00406504065,0.02564102564,0.005649717514,40.6504065,256.4102564,56.49717514
M894,0,0%,35,100%,35,0,0%,35,100%,0,0%,0,0%,35,90 TRINITY PLACE,40.708971,-74.012465,"Leadership and Public Service High School, 90 Trinity Place, New York, NY 10006, United States of America",10006,1996,High school,MN25,Battery Park City-Lower Manhattan,Leadership and Public Service High School,1300,1,298,2,30,0,2,328,8.514285714,0.8571428571,9.371428571,0.006711409396,0,0.006097560976,67.11409396,0,60.97560976
M896,0,0%,11,100%,11,0,0%,11,100%,0,0%,0,0%,11,123 WEST  43 STREET,40.756089,-73.984381,"118 West 44th Street, New York, NY 10036, United States of America",10036,1996,High school,MN17,Midtown-Midtown South,Repertory Company High School for Theatre Arts,11900,1,240,2,24,0,2,264,21.81818182,2.181818182,24,0.008333333333,0,0.007575757576,83.33333333,0,75.75757576
M918,0,0%,26,100%,26,0,0%,26,100%,0,0%,0,0%,26,421 W 219TH ST,40.871673,-73.912339,"421 West 219th Street, New York, NY 10034, United States of America",10034,2004,K-8,MN01,Marble Hill-Inwood,Paula Hedbavny School,29900,1,471,2,60,0,2,531,18.11538462,2.307692308,20.42307692,0.004246284501,0,0.003766478343,42.46284501,0,37.66478343
Q003,2,5%,36,95%,38,0,0%,38,100%,0,0%,0,0%,38,108-55 69 AVENUE,40.725787,-73.844032,"The Academy For Excellence Through The Arts, 68th Drive, New York, NY 11375, United States of America",11375,2008,Early Childhood,QN17,Forest Hills,The Academy for Excellence through the Arts,73900,1,371,2,43,1,3,414,9.763157895,1.131578947,10.89473684,0.00539083558,0.02325581395,0.007246376812,53.9083558,232.5581395,72.46376812
Q015,7,30%,16,70%,23,0,0%,21,91%,2,9%,2,9%,23,121-15 LUCAS STREET,40.68605,-73.756546,"Public School 15, 121-15 Lucas Street, New York, NY 11413, United States of America",11413,1939,Elementary,QN08,St. Albans,P.S. 015 Jackie Robinson,37600,1,358,2,45,0,2,403,15.56521739,1.956521739,17.52173913,0.005586592179,0,0.004962779156,55.86592179,0,49.62779156
Q028,0,0%,23,100%,23,0,0%,23,100%,0,0%,0,0%,23,109-10 47 AVENUE,40.747017,-73.854268,"109-10 47th Avenue, New York, NY 11368, United States of America",11368,2002,Early Childhood,QN25,Corona,P.S. 28 - The Thomas Emanuel Early Childhood Cente,41500,1,430,2,65,0,2,495,18.69565217,2.826086957,21.52173913,0.004651162791,0,0.00404040404,46.51162791,0,40.4040404
Q031,1,4%,26,96%,27,0,0%,27,100%,0,0%,0,0%,27,211-45 46 ROAD,40.757701,-73.768994,"Public School 31, 213-45 46th Road, New York, NY 11361, United States of America",11361,1940,Elementary,QN46,Bayside-Bayside Hills,P.S. 031 Bayside,144700,1,452,2,51,0,2,503,16.74074074,1.888888889,18.62962963,0.004424778761,0,0.003976143141,44.24778761,0,39.76143141
Q037,0,0%,44,100%,44,0,0%,44,100%,0,0%,0,0%,44,179-37 137 AVENUE,40.676201,-73.758778,"Cynthia Jenkins School (Q037), Belknap Street, New York, NY 11413, United States of America",11413,1928,Elementary,QN08,St. Albans,Cynthia Jenkins School,35200,1,288,2,46,1,3,334,6.545454545,1.045454545,7.590909091,0.006944444444,0.02173913043,0.008982035928,69.44444444,217.3913043,89.82035928
Q052,1,5%,21,95%,22,0,0%,21,95%,1,5%,1,5%,22,178-37 146 TERRACE,40.661427,-73.767161,"146-61 Guy R. Brewer Boulevard, New York, NY 11434, United States of America",11434,1927,Elementary,QN03,Springfield Gardens South-Brookville,P.S. 052 Queens,32000,1,336,2,53,1,3,389,15.27272727,2.409090909,17.68181818,0.005952380952,0.01886792453,0.007712082262,59.52380952,188.6792453,77.12082262
Q056,0,0%,19,100%,19,0,0%,19,100%,0,0%,0,0%,19,86-10 114 STREET,40.698989,-73.835735,"Public School 56, 86-10 114th Street, New York, NY 11418, United States of America",11418,1896,Elementary,QN54,Richmond Hill,P.S. 056 Harry Eichler,13000,1,331,2,42,0,2,373,17.42105263,2.210526316,19.63157895,0.006042296073,0,0.005361930295,60.42296073,0,53.61930295
Q058,0,0%,58,100%,58,0,0%,58,100%,0,0%,0,0%,58,72-24 GRAND AVENUE,40.728517,-73.890638,"PS58 - The School of Heroes, 73rd Street, New York, NY 11378, United States of America",11378,2002,Elementary,QN30,Maspeth,P.S. 58 - The School of Heroes,49302,1,931,2,96,0,2,1027,16.05172414,1.655172414,17.70689655,0.002148227712,0,0.001947419669,21.48227712,0,19.47419669
Q069,0,0%,51,100%,51,0,0%,51,100%,0,0%,0,0%,51,77-02 37 AVENUE,40.748804,-73.888457,"Public School 69, 78th Street, New York, NY 11372, United States of America",11372,1924,Elementary,QN28,Jackson Heights,P.S. 069 Jackson Heights,28700,1,870,2,97,0,2,967,17.05882353,1.901960784,18.96078431,0.002298850575,0,0.002068252327,22.98850575,0,20.68252327
Q072,4,5%,72,95%,76,0,0%,74,97%,2,3%,2,3%,76,133-25 GUY R BREWER BOULEVARD,40.675014,-73.775643,"Junior High School 72, 133-25 Guy R. Brewer Boulevard, New York, NY 11434, United States of America",11434,1967,Junior High-Intermediate-Middle,QN02,Springfield Gardens North,"Catherine & Count Basie Middle School 72, Redwood Middle School",33402,2,526,2,76,0,2,602,6.921052632,1,7.921052632,0.003802281369,0,0.003322259136,38.02281369,0,33.22259136
Q099,0,0%,25,100%,25,0,0%,25,100%,0,0%,0,0%,25,82-37 KEW GARDENS ROAD,40.711502,-73.827722,"82-37 Kew Gardens Road, New York, NY 11415, United States of America",11415,1924,Elementary,QN60,Kew Gardens,P.S. 099 Kew Gardens,21600,1,696,2,98,0,2,794,27.84,3.92,31.76,0.002873563218,0,0.002518891688,28.73563218,0,25.18891688
Q104,0,0%,34,100%,34,0,0%,34,100%,0,0%,0,0%,34,26-01 MOTT AVENUE,40.608002,-73.764621,"Public School 104, 26-01 Mott Avenue, New York, NY 11691, United States of America",11691,1938,Elementary,QN15,Far Rockaway-Bayswater,P.S. 104 The Bays Water,100801,1,590,2,88,1,3,678,17.35294118,2.588235294,19.94117647,0.003389830508,0.01136363636,0.004424778761,33.89830508,113.6363636,44.24778761
Q109,2,3%,62,97%,64,0,0%,64,100%,0,0%,0,0%,64,213-10 92 AVENUE,40.720074,-73.746375,"Public School 109, 214th Street, New York, NY 11428, United States of America",11428,1925,Junior High-Intermediate-Middle,QN34,Queens Village,Jean Nuzzi Intermediate School,54200,1,1121,2,105,1,3,1226,17.515625,1.640625,19.15625,0.00178412132,0.009523809524,0.002446982055,17.8412132,95.23809524,24.46982055
Q113,1,2%,42,98%,43,1,2%,43,98%,0,0%,1,2%,44,78-23 87TH STREET,40.705476,-73.861493,"PS 118, 78-23 87th Street, New York, NY 11385, United States of America",11385,1928,K-8,QN19,Glendale,P.S./I.S. 113 Anthony J. Pranzo,63700,1,839,2,91,2,4,930,19.06818182,2.068181818,21.13636364,0.002383790226,0.02197802198,0.004301075269,23.83790226,219.7802198,43.01075269
Q116,0,0%,42,100%,42,0,0%,42,100%,0,0%,0,0%,42,107-25 WREN PLACE,40.70084,-73.781839,"PS 116, 175th Street, New York, NY 11433, United States of America",11433,1925,K-8,QN01,South Jamaica,P.S./I.S. 116 William C. Hughley,41400,1,805,2,97,4,6,902,19.16666667,2.30952381,21.47619048,0.00248447205,0.0412371134,0.006651884701,24.8447205,412.371134,66.51884701
